Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
98,23,7,112,7,Some Random Commen with Id 98
99,24,7,136,4,Some Random Commen with Id 99
100,24,7,156,5,Some Random Commen with Id 100
101,24,7,173,0,Some Random Commen with Id 101
102,24,7,139,2,Some Random Commen with Id 102
103,25,5,34,0,Some Random Commen with Id 103
104,25,5,85,7,Some Random Commen with Id 104
105,25,5,128,4,Some Random Commen with Id 105
106,25,5,173,2,Some Random Commen with Id 106
107,25,5,187,8,Some Random Commen with Id 107
108,25,5,15,5,Some Random Commen with Id 108
109,26,6,87,7,Some Random Commen with Id 109
110,26,6,167,5,Some Random Commen with Id 110
111,26,6,25,9,Some Random Commen with Id 111
112,26,6,198,3,Some Random Commen with Id 112
113,26,6,143,5,Some Random Commen with Id 113
114,27,9,102,4,Some Random Commen with Id 114
115,27,9,164,8,Some Random Commen with Id 115
116,27,9,63,2,Some Random Commen with Id 116
117,27,9,70,0,Some Random Commen with Id 117
118,27,9,73,8,Some Random Commen with Id 118
119,27,9,64,9,Some Random Commen with Id 119
120,29,2,119,6,Some Random Commen with Id 120
121,29,2,183,4,Some Random Commen with Id 121
122,29,2,19,9,Some Random Commen with Id 122
123,29,2,122,8,Some Random Commen with Id 123
124,29,2,49,3,Some Random Commen with Id 124
125,32,0,39,5,Some Random Commen with Id 125
126,32,0,168,0,Some Random Commen with Id 126
127,32,0,102,4,Some Random Commen with Id 127
128,32,0,177,1,Some Random Commen with Id 128
129,32,0,141,6,Some Random Commen with Id 129
130,32,0,26,0,Some Random Commen with Id 130
131,32,0,50,5,Some Random Commen with Id 131
132,32,0,65,5,Some Random Commen with Id 132
133,32,0,169,6,Some Random Commen with Id 133
134,33,5,31,3,Some Random Commen with Id 134
135,33,5,141,4,Some Random Commen with Id 135
136,33,5,162,6,Some Random Commen with Id 136
137,33,5,52,5,Some Random Commen with Id 137
138,33,5,174,5,Some Random Commen with Id 138
139,33,5,72,8,Some Random Commen with Id 139
140,33,5,154,7,Some Random Commen with Id 140
141,33,5,89,3,Some Random Commen with Id 141
142,34,3,95,7,Some Random Commen with Id 142
143,34,3,45,1,Some Random Commen with Id 143
144,34,3,36,4,Some Random Commen with Id 144
145,34,3,190,0,Some Random Commen with Id 145
146,34,3,136,7,Some Random Commen with Id 146
147,35,5,195,9,Some Random Commen with Id 147
148,35,5,154,8,Some Random Commen with Id 148
149,36,4,186,2,Some Random Commen with Id 149
150,37,7,173,6,Some Random Commen with Id 150
151,37,7,18,2,Some Random Commen with Id 151
152,38,1,5,4,Some Random Commen with Id 152
153,39,4,195,8,Some Random Commen with Id 153
154,39,4,117,7,Some Random Commen with Id 154
155,39,4,41,5,Some Random Commen with Id 155
156,39,4,178,6,Some Random Commen with Id 156
157,39,4,87,7,Some Random Commen with Id 157
158,39,4,7,3,Some Random Commen with Id 158
159,39,4,54,6,Some Random Commen with Id 159
160,39,4,45,0,Some Random Commen with Id 160
161,39,4,111,9,Some Random Commen with Id 161
